strategy,atr_window,multiplier,start,end,rows,total_return_pct,max_drawdown_pct,sharpe,calmar,total_trades,win_rate_pct,entry_n,exit_n,window,slope_window,enter_slope,exit_slope,fast,slow
supertrend,30.0,2.0,2017-08-03,2026-03-17,2090,-35.84336320014024,50.04471422927361,-0.11771561964180863,-0.1490370800394616,52.0,45.09803921568628,,,,,,,,
supertrend,30.0,2.5,2017-08-03,2026-03-17,2090,-50.08694455812034,56.49247621431368,-0.2840924279893563,-0.20229487142192712,42.0,34.146341463414636,,,,,,,,
supertrend,30.0,3.0,2017-08-03,2026-03-17,2090,-41.65724814807294,50.53898190956505,-0.17425244443615168,-0.17770596396402372,31.0,46.666666666666664,,,,,,,,
supertrend,30.0,3.5,2017-08-03,2026-03-17,2090,-37.940482384872546,51.01312617975887,-0.13627162236609286,-0.15670613521043636,23.0,52.17391304347826,,,,,,,,
supertrend,30.0,4.0,2017-08-03,2026-03-17,2090,-39.775519992155026,51.970497073154476,-0.1531472653113302,-0.1630750082276251,19.0,26.31578947368421,,,,,,,,
supertrend,50.0,2.0,2017-08-03,2026-03-17,2090,-44.94302669292034,54.66884648846635,-0.2234920669308534,-0.18105095909550065,54.0,35.84905660377358,,,,,,,,
supertrend,50.0,2.5,2017-08-03,2026-03-17,2090,-41.09223760241978,51.62268633212762,-0.17725849524944637,-0.17100526941932545,39.0,36.84210526315789,,,,,,,,
supertrend,50.0,3.0,2017-08-03,2026-03-17,2090,-51.90024936143406,57.30505995438997,-0.30792856609957725,-0.20938301198145917,33.0,37.5,,,,,,,,
supertrend,50.0,3.5,2017-08-03,2026-03-17,2090,-49.31813806610715,54.38657476262405,-0.26871785797069586,-0.2057747142104227,25.0,44.0,,,,,,,,
supertrend,50.0,4.0,2017-08-03,2026-03-17,2090,-50.955797182891125,55.00389447716141,-0.2945399663653749,-0.21270048015716692,22.0,36.36363636363637,,,,,,,,
donchian,,,2017-08-03,2026-03-17,2090,-61.30395543176079,65.29341056016072,-0.4686885178181312,-0.23400958752356832,37.0,33.33333333333333,20.0,10.0,,,,,,
donchian,,,2017-08-03,2026-03-17,2090,-44.744730678234404,53.1237030109476,-0.196828848172567,-0.18525171711195815,24.0,30.434782608695656,20.0,20.0,,,,,,
donchian,,,2017-08-03,2026-03-17,2090,-60.564335730374566,62.43961138811185,-0.505164913479818,-0.24021113609202568,21.0,28.57142857142857,55.0,10.0,,,,,,
donchian,,,2017-08-03,2026-03-17,2090,-51.8262273225536,57.60687624890238,-0.3250818887812811,-0.20787570173130876,14.0,21.428571428571427,55.0,20.0,,,,,,
ma_slope,,,2017-08-03,2026-03-17,2090,-20.2189820897374,37.05981995369914,-0.26191561289588233,-0.10437388133019956,28.0,17.857142857142858,,,60.0,5.0,0.0,0.0,,
ma_slope,,,2017-08-03,2026-03-17,2090,-9.899487543068187,31.757765153435464,-0.10178853773650459,-0.05680700063255629,14.0,21.428571428571427,,,60.0,10.0,0.0,0.0,,
ma_slope,,,2017-08-03,2026-03-17,2090,7.172460774765612,21.03178862324386,0.16003466403436595,0.057868157945716044,11.0,36.36363636363637,,,120.0,5.0,0.0,0.0,,
ma_slope,,,2017-08-03,2026-03-17,2090,-1.2099733151202818,25.595617391537722,0.04202987443155285,-0.008297283992418237,11.0,27.27272727272727,,,120.0,10.0,0.0,0.0,,
ma_slope,,,2017-08-03,2026-03-17,2090,-16.053901454486667,28.109191776567123,-0.2215464069004777,-0.10707920304338994,6.0,50.0,,,200.0,5.0,0.0,0.0,,
ma_slope,,,2017-08-03,2026-03-17,2090,-18.64290292417306,25.922616324467818,-0.288721166313835,-0.1365251617339288,5.0,20.0,,,200.0,10.0,0.0,0.0,,
timing_ma,,,2017-08-03,2026-03-17,2090,-46.71667056825742,50.10307011817671,-0.23627475415654248,-0.20780437535664895,11.0,27.27272727272727,,,,,,,20.0,120.0
timing_ma,,,2017-08-03,2026-03-17,2090,-25.750490600260733,50.02813731007316,-0.02343289824303436,-0.10128049333149809,7.0,28.57142857142857,,,,,,,20.0,200.0
timing_ma,,,2017-08-03,2026-03-17,2090,-29.301688750021494,50.55259200900394,-0.05396616780437788,-0.1162343276141651,7.0,42.857142857142854,,,,,,,60.0,120.0
timing_ma,,,2017-08-03,2026-03-17,2090,-36.08697726383551,51.78877720877884,-0.12421092915183816,-0.14520487123296733,6.0,16.666666666666664,,,,,,,60.0,200.0
